City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,sotik post,-0.7813,35.3416,12.38,72,77,1.32,KE,1707258519
113,floro,61.5996,5.0328,-1.02,55,100,4.12,NO,1707258519
114,lompoc,34.6391,-120.4579,15.34,63,100,7.2,US,1707258283
115,maraba,-5.3686,-49.1178,26.1,94,40,0.0,BR,1707258519
116,kristiansund,63.1115,7.732,-6.64,79,62,2.06,NO,1707258519
117,namibe,-15.1961,12.1522,25.38,76,100,3.22,AO,1707258294
118,hawaiian paradise park,19.5933,-154.9731,24.32,78,100,1.54,US,1707258271
119,machico,32.7,-16.7667,20.0,60,20,4.12,PT,1707258520
120,antonio enes,-16.2325,39.9086,25.32,92,100,2.68,MZ,1707258520
121,huarmey,-10.0681,-78.1522,27.14,69,21,4.81,PE,1707258293
122,manzhouli,49.6,117.4333,-22.76,98,79,2.23,CN,1707258520
123,monkey bay,-14.0728,34.9201,25.89,82,100,5.42,MW,1707258520
124,enewetak,11.3474,162.3373,26.57,81,64,7.32,MH,1707258303
125,valle nacional,17.7833,-96.3167,24.04,54,14,2.19,MX,1707258522
126,amasra,41.7463,32.3863,10.93,62,8,5.13,TR,1707258522
127,xiazhen,34.8022,117.1117,-2.83,84,94,2.26,CN,1707258522
128,hadibu,12.65,54.0333,24.43,74,6,3.81,YE,1707258302
129,iskateley,67.6803,53.1512,-27.77,99,97,1.34,RU,1707258091
130,lethem,3.3803,-59.7968,33.74,41,70,3.71,GY,1707258524
131,humaita,-7.5061,-63.0208,26.99,84,100,1.16,BR,1707258525
132,ugoofaaru,5.6667,73.0,27.76,71,41,5.66,MV,1707258525
133,mokhsogollokh,61.4681,128.9203,-30.43,98,100,0.79,RU,1707258289
134,tekkali,18.6167,84.2333,22.16,85,0,1.88,IN,1707258525
135,port alfred,-33.5906,26.891,21.21,95,98,4.47,ZA,1707258291
136,rio gallegos,-51.6226,-69.2181,17.03,48,0,6.69,AR,1707258525
137,kavaratti,10.5669,72.642,27.71,75,5,3.17,IN,1707258526
138,lebu,-37.6167,-73.65,19.45,83,63,1.95,CL,1707258338
139,freetown,8.484,-13.2299,27.84,74,20,4.63,SL,1707258526
140,ellsworth,44.5434,-68.4195,1.46,72,0,2.57,US,1707258530
141,albany,42.6001,-73.9662,1.99,63,6,1.13,US,1707258269
142,invercargill,-46.4,168.35,15.57,76,55,5.81,NZ,1707258022
143,atafu village,-8.5421,-172.5159,28.88,79,100,11.48,TK,1707258285
144,vorgashor,67.5833,63.95,-26.11,99,93,1.52,RU,1707258287
145,acapulco de juarez,16.8634,-99.8901,29.9,58,20,4.12,MX,1707258093
146,gadzhiyevo,69.2551,33.3362,-17.24,98,97,4.63,RU,1707258269
147,lihue,21.9789,-159.3672,25.77,66,20,9.77,US,1707258283
148,bage,-31.3314,-54.1069,29.88,58,0,3.6,BR,1707258531
